record_date,devs_1dau,devs_7dau,devs_28dau
2021-05-05,3693,10324,24469
2021-05-06,3813,10432,24527
2021-05-07,3684,10413,24702
2021-05-08,2116,10782,24999
2021-05-09,2033,10962,25154
2021-05-10,4105,11283,25371
2021-05-11,4058,11455,25545
2021-05-12,3912,11515,25615
2021-05-13,3509,11527,25704
2021-05-14,3337,11416,25724
2021-05-15,1983,11387,25925
2021-05-16,1979,11403,26060
2021-05-17,4009,11369,26181
2021-05-18,4171,11442,26405
2021-05-19,4046,11426,26575
2021-05-20,4066,11491,26708
2021-05-21,3900,11583,26812
2021-05-22,1979,11552,26936
2021-05-23,2153,11649,27093
2021-05-24,3833,11687,27258
2021-05-25,4239,11699,27439
2021-05-26,4270,11832,27571
2021-05-27,4255,11863,27702
2021-05-28,3834,11735,27666
2021-05-29,1953,11767,27818
2021-05-30,2089,11825,27999
2021-05-31,3832,11895,28109
2021-06-01,4293,11994,28285
2021-06-02,4295,11946,28438
2021-06-03,4060,11857,28513
2021-06-04,3859,11816,28493
2021-06-05,1959,11867,28415
2021-06-06,2089,11819,28396
2021-06-07,4329,11951,28407
2021-06-08,4300,11932,28380
2021-06-09,4229,11885,28398
2021-06-10,4318,11993,28491
2021-06-11,3866,11925,28496
2021-06-12,1854,11974,28443
2021-06-13,1900,11935,28416
2021-06-14,3935,11850,28409
2021-06-15,4259,11832,28447
2021-06-16,4217,11811,28501
2021-06-17,4253,11652,28528
2021-06-18,3901,11608,28428
2021-06-19,1767,11519,28348
2021-06-20,1916,11535,28279
2021-06-21,4134,11617,28280
2021-06-22,4306,11598,28347
2021-06-23,4257,11619,28277
2021-06-24,4271,11598,28250
2021-06-25,3842,11444,28133
2021-06-26,1720,11462,28057
2021-06-27,1860,11452,27963
2021-06-28,4180,11572,27988
2021-06-29,4171,11562,27951
2021-06-30,4258,11547,27922
2021-07-01,4104,11522,27957
2021-07-02,3644,11305,27809
2021-07-03,1685,11296,27747
2021-07-04,1792,11287,27669
2021-07-05,3734,11173,27532
2021-07-06,4129,11256,27443
2021-07-07,4190,11245,27467
2021-07-08,4286,11247,27353
2021-07-09,3739,11121,27268
2021-07-10,1759,11246,27246
2021-07-11,1811,11269,27257
2021-07-12,4282,11460,27326
2021-07-13,4351,11566,27296
2021-07-14,4175,11554,27262
2021-07-15,4306,11515,27236
2021-07-16,3882,11457,27170
2021-07-17,1791,11542,27227
2021-07-18,1929,11636,27244
2021-07-19,4236,11650,27263
2021-07-20,4255,11629,27294
2021-07-21,4159,11589,27230
2021-07-22,4070,11430,27172
2021-07-23,3762,11227,27059
2021-07-24,1822,11290,27131
2021-07-25,1874,11299,27115
2021-07-26,4211,11454,27175
2021-07-27,4391,11564,27261
2021-07-28,4300,11696,27261
2021-07-29,4141,11642,27187
2021-07-30,3718,11466,27105
2021-07-31,1719,11437,27148
2021-08-01,1797,11430,27156
2021-08-02,4193,11622,27343
2021-08-03,4189,11502,27332
2021-08-04,4279,11391,27335
2021-08-05,4116,11271,27218
2021-08-06,3712,11123,27052
2021-08-07,1650,11052,27028
2021-08-08,1792,11083,27048
2021-08-09,4048,11147,27064
2021-08-10,4177,11191,27071
2021-08-11,4181,11216,27170
2021-08-12,4100,11206,27141
2021-08-13,3612,11015,27000
2021-08-14,1665,11134,27016
2021-08-15,1749,11171,26997
2021-08-16,3993,11205,27017
2021-08-17,4182,11283,27014
2021-08-18,4178,11239,27071
2021-08-19,4185,11199,27066
2021-08-20,3781,11045,26969
2021-08-21,1622,11023,26897
2021-08-22,1763,11029,26857
2021-08-23,4201,11195,26889
2021-08-24,4305,11339,26847
2021-08-25,4298,11379,26739
2021-08-26,4215,11347,26710
2021-08-27,3815,11218,26687
2021-08-28,1744,11310,26723
2021-08-29,1847,11378,26738
2021-08-30,4151,11423,26692
2021-08-31,4511,11580,26755
2021-09-01,4510,11689,26784
2021-09-02,4483,11799,26846
2021-09-03,4012,11770,26862
2021-09-04,1729,11807,26934
2021-09-05,1767,11751,26956
2021-09-06,3900,11801,26924
2021-09-07,4339,11787,26958
2021-09-08,4433,11802,26961
2021-09-09,4529,11785,27004
2021-09-10,3888,11644,26979
2021-09-11,1919,11732,27069
2021-09-12,2029,11877,27227
2021-09-13,4488,12122,27340
2021-09-14,4719,12298,27524
2021-09-15,4710,12415,27692
2021-09-16,4632,12445,27812
2021-09-17,4286,12470,27877
2021-09-18,2009,12472,27996
2021-09-19,1952,12476,28103
2021-09-20,4239,12579,28198
2021-09-21,4447,12532,28283
2021-09-22,4694,12533,28383
2021-09-23,4653,12508,28497
2021-09-24,4320,12342,28560
2021-09-25,1986,12408,28635
2021-09-26,2272,12492,28670
2021-09-27,4668,12745,28880
2021-09-28,4779,12785,28888
2021-09-29,4920,12934,28964
2021-09-30,4880,12990,29002
2021-10-01,4056,12823,28971
2021-10-02,1903,12846,29032
2021-10-03,2001,12767,29079
2021-10-04,4475,12788,29239
2021-10-05,4615,12773,29372
2021-10-06,4717,12764,29582
2021-10-07,4589,12520,29601
2021-10-08,4528,12730,29768
2021-10-09,2026,12821,29820
2021-10-10,2091,12872,29864
2021-10-11,4543,13063,30019
2021-10-12,4828,13197,30177
2021-10-13,4953,13324,30267
2021-10-14,4884,13438,30362
2021-10-15,4197,13178,30315
2021-10-16,2081,13294,30450
2021-10-17,2260,13370,30548
2021-10-18,5200,13687,30847
2021-10-19,5250,13852,31053
2021-10-20,5183,13867,31221
2021-10-21,5104,13813,31275
2021-10-22,4671,13858,31301
2021-10-23,2157,13978,31472
2021-10-24,2203,13989,31478
2021-10-25,5333,14125,31697
2021-10-26,5276,14179,31900
2021-10-27,5241,14228,32033
2021-10-28,5312,14278,32178
2021-10-29,4840,14315,32329
2021-10-30,2216,14422,32472
2021-10-31,2240,14423,32554
2021-11-01,4516,14255,32686
2021-11-02,5095,14251,32790
2021-11-03,5116,14366,32979
2021-11-04,4792,14110,33042
2021-11-05,4501,13766,32858
2021-11-06,2122,13720,32938
2021-11-07,2334,13781,32986
2021-11-08,5287,14023,33116
2021-11-09,5457,14164,33235
2021-11-10,5285,14191,33214
2021-11-11,5009,14316,33194
2021-11-12,4927,14469,33356
2021-11-13,2253,14556,33413
2021-11-14,2460,14586,33462
2021-11-15,5226,14785,33582
2021-11-16,5521,14734,33672
2021-11-17,5564,14815,33816
2021-11-18,5608,15006,33962
2021-11-19,5189,14994,34159
2021-11-20,2405,15072,34222
2021-11-21,2526,15167,34333
2021-11-22,5563,15428,34518
2021-11-23,5447,15422,34597
2021-11-24,5447,15394,34710
2021-11-25,5102,15185,34640
2021-11-26,4729,14876,34530
2021-11-27,2379,14931,34597
2021-11-28,2564,14866,34685
2021-11-29,5767,15055,34955
2021-11-30,5814,15185,35087
2021-12-01,5819,15352,35223
2021-12-02,5763,15523,35419
2021-12-03,5297,15658,35512
2021-12-04,2577,15844,35725
2021-12-05,2674,15920,35858
2021-12-06,5858,16069,36182
2021-12-07,6077,16159,36327
2021-12-08,5781,16151,36489
2021-12-09,5918,16185,36666
2021-12-10,5295,16042,36620
2021-12-11,2605,16092,36768
2021-12-12,2719,16201,36902
2021-12-13,5954,16305,37128
2021-12-14,5860,16282,37242
2021-12-15,5771,16202,37326
2021-12-16,5669,16127,37386
2021-12-17,4993,15905,37314
2021-12-18,2326,15878,37386
2021-12-19,2288,15751,37285
2021-12-20,5084,15471,37312
2021-12-21,5103,15152,37287
2021-12-22,4853,14679,37177
2021-12-23,4384,14049,37082
2021-12-24,3102,13180,36834
2021-12-25,1725,12964,36731
2021-12-26,2021,12873,36645
2021-12-27,3829,12500,36391
2021-12-28,3967,12036,36111
2021-12-29,3818,11510,35803
2021-12-30,3607,10998,35364
2021-12-31,2547,10701,34819
2022-01-01,1660,10728,34624
2022-01-02,2016,10785,34600
2022-01-03,4291,11387,34381
2022-01-04,5125,12036,34257
2022-01-05,5328,12713,34183
2022-01-06,5114,13253,33979
2022-01-07,4921,13913,33829
2022-01-08,2349,14128,33797
2022-01-09,2610,14382,33828
2022-01-10,5573,14862,33621
2022-01-11,5782,15226,33552
2022-01-12,5858,15394,33456
2022-01-13,5814,15640,33418
2022-01-14,5219,15645,33272
2022-01-15,2472,15793,33289
2022-01-16,2624,15785,33368
2022-01-17,5586,15936,33606
2022-01-18,5981,16063,33764
2022-01-19,5880,15989,33955
2022-01-20,5877,15953,34168
2022-01-21,5428,15888,34555
2022-01-22,2646,15968,34816
2022-01-23,2762,16017,34955
2022-01-24,6014,16120,35326
2022-01-25,5997,16182,35683
